Species,Data,Substitution,11-20cm_InitialPhase,21-30cm_InitialPhase,31-40cm_InitialPhase,41-50cm_InitialPhase,11-20cm_TerminalPhase,21-30cm_TerminalPhase,31-40cm_TerminalPhase,41-50cm_TerminalPhase,51-60cm_TerminalPhase
Bolbometopon muricatum,IP_ReefBudget_methodoloy.pdf,,3428,3428,3428,3428,3428,3428,3428,3428,3428
Calotomus carolinus,IP Parrotfish erosion rates_database_v1.3.xlsx,,0,0,0,0,0,0,0,0,0
Calotomus zonarchus,,Calotomus carolinus,0,0,0,0,0,0,0,0,0
Cetoscarus ocellatus,IP Parrotfish erosion rates_database_v1.3.xlsx,,17.5642409,76.51467482,205.9903017,437.5524921,14.58697638,69.88343885,209.5012307,387.4142949,765.2605333
Chlorurus frontalis,,Chlorurus perspicillatus,4.120923163,34.60958977,104.9768564,235.0917717,4.120923163,34.60958977,104.9768564,235.0917717,219.9969877
Chlorurus japanensis,IP Parrotfish erosion rates_database_v1.3.xlsx,,5.222272637,13.81830234,44.60663097,,5.056899606,13.47270263,44.60663097,,
Chlorurus microrhinos,IP Parrotfish erosion rates_database_v1.3.xlsx,,14.98476229,72.08920202,279.8635446,455.3226744,14.87043462,73.1488146,263.0374906,415.0104408,586.2375044
Chlorurus perspicillatus,IP Parrotfish erosion rates_database_v1.3.xlsx,,4.120923163,34.60958977,104.9768564,235.0917717,4.120923163,34.60958977,104.9768564,235.0917717,219.9969877
Chlorurus sordidus,IP Parrotfish erosion rates_database_v1.3.xlsx,,3.435384973,14.38554455,32.76946468,,2.922755944,12.68195848,32.76946468,,
Chlorurus spilurus,IP Parrotfish erosion rates_database_v1.3.xlsx,,3.435384973,14.38554455,32.76946468,,2.922755944,12.68195848,32.76946468,,
Hipposcarus longiceps,IP Parrotfish erosion rates_database_v1.3.xlsx,,1.066782038,2.554165203,3.615321032,4.593167142,1.066782038,2.260990842,3.615321032,4.593167142,6.062809886
Scarus altipinnis,IP Parrotfish erosion rates_database_v1.3.xlsx,,2.212158004,8.888252177,16.95396215,,1.939170342,7.845303984,16.35158852,,
Scarus dimidiatus,IP Parrotfish erosion rates_database_v1.3.xlsx,,3.056698819,7.325452567,25.82940954,,2.882831596,6.368568292,26.0376034,,
Scarus dubius,,Mean of Scarus,2.101009196,6.889156932,20.47067074,70.13137931,1.971768584,6.692464597,20.90251371,68.40293778,133.9037727
Scarus festivus,IP Parrotfish erosion rates_database_v1.3.xlsx,,5.174600726,5.511245927,13.67184627,,4.889222223,6.550211199,13.67184627,,
Scarus forsteni,IP Parrotfish erosion rates_database_v1.3.xlsx,,1.72134191,8.860901632,16.54966258,,1.728718963,8.876952849,16.22074562,,
Scarus frenatus,IP Parrotfish erosion rates_database_v1.3.xlsx,,1.675301872,5.358569503,9.676136677,22.05467094,1.511543727,4.648475025,10.55545307,22.05467094,31.75798248
Scarus fuscocaudalis,,Mean of Scarus,2.101009196,6.889156932,20.47067074,70.13137931,1.971768584,6.692464597,20.90251371,68.40293778,133.9037727
Scarus ghobban,IP Parrotfish erosion rates_database_v1.3.xlsx,,1.896994474,9.542385142,35.98126847,89.08722325,1.738234944,9.85982424,39.16648218,90.08634943,199.2860451
Scarus globiceps,IP Parrotfish erosion rates_database_v1.3.xlsx,,5.174600726,5.511245927,13.67184627,,4.889222223,6.550211199,13.67184627,,
Scarus niger,IP Parrotfish erosion rates_database_v1.3.xlsx,,2.212158004,8.888252177,16.95396215,,1.939170342,7.845303984,16.35158852,,
Scarus oviceps,IP Parrotfish erosion rates_database_v1.3.xlsx,,3.056698819,7.325452567,25.82940954,,2.882831596,6.368568292,26.0376034,,
Scarus psittacus,IP Parrotfish erosion rates_database_v1.3.xlsx,,0.16662964,1.35186663,,,0.154718008,1.288823043,,,
Scarus rubroviolaceus,IP Parrotfish erosion rates_database_v1.3.xlsx,,2.594299442,12.03789348,40.97472477,99.25224374,2.535347175,12.16123401,43.10666076,93.06779297,170.6672906
Scarus schlegeli,IP Parrotfish erosion rates_database_v1.3.xlsx,,1.264949264,4.622688282,6.207333416,,1.172008467,4.467602594,6.207333416,,
Scarus spinus,IP Parrotfish erosion rates_database_v1.3.xlsx,,1.33047793,3.937167662,,,1.251121915,4.268342,,,
Scarus tricolor,IP Parrotfish erosion rates_database_v1.3.xlsx,,1.72134191,8.860901632,16.54966258,,1.728718963,8.876952849,16.22074562,,
Scarus xanthopleura,IP Parrotfish erosion rates_database_v1.3.xlsx,,1.33047793,3.937167662,,,1.251121915,4.268342,,,