Species,Data,Substitution,11-20cm_InitialPhase,21-30cm_InitialPhase,31-40cm_InitialPhase,41-50cm_InitialPhase,11-20cm_TerminalPhase,21-30cm_TerminalPhase,31-40cm_TerminalPhase,41-50cm_TerminalPhase,51-60cm_TerminalPhase,a,b
Bolbometopon muricatum,IP_ReefBudget_methodoloy.pdf,NA,3428,3428,3428,3428,3428,3428,3428,3428,3428,3428,0
Calotomus carolinus,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,0,0,0,0,0,0,0,0,0,0,0
Calotomus zonarchus,NA,Calotomus carolinus,0,0,0,0,0,0,0,0,0,0,0
Cetoscarus ocellatus,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,17.5642409,76.51467482,205.9903017,437.5524921,14.58697638,69.88343885,209.5012307,387.4142949,765.2605333,0.003993323476908091,3.030641544145907
Chlorurus frontalis,NA,Chlorurus perspicillatus,4.120923163,34.60958977,104.9768564,235.0917717,4.120923163,34.60958977,104.9768564,235.0917717,219.9969877,4.107759098879459e-4,3.4380141620239533
Chlorurus japanensis,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,5.222272637,13.81830234,44.60663097,NA,5.056899606,13.47270263,44.60663097,NA,NA,0.004278799214148171,2.55630675720253
Chlorurus microrhinos,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,14.98476229,72.08920202,279.8635446,455.3226744,14.87043462,73.1488146,263.0374906,415.0104408,586.2375044,0.003613698147181172,3.0671197159552555
Chlorurus perspicillatus,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,4.120923163,34.60958977,104.9768564,235.0917717,4.120923163,34.60958977,104.9768564,235.0917717,219.9969877,4.107759098879459e-4,3.4380141620239533
Chlorurus sordidus,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,3.435384973,14.38554455,32.76946468,NA,2.922755944,12.68195848,32.76946468,NA,NA,0.0013857168112200685,2.8265258936170783
Chlorurus spilurus,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,3.435384973,14.38554455,32.76946468,NA,2.922755944,12.68195848,32.76946468,NA,NA,0.0013857168112200685,2.8265258936170783
Hipposcarus longiceps,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,1.066782038,2.554165203,3.615321032,4.593167142,1.066782038,2.260990842,3.615321032,4.593167142,6.062809886,0.02816442808500785,1.3473781158978024
Scaridae,NA,Mean of Scarus,2.101009196,6.889156932,20.47067074,70.13137931,1.971768584,6.692464597,20.90251371,68.40293778,133.9037727,1.9944923332149584e-4,3.2963871145137196
Scarus altipinnis,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,2.212158004,8.888252177,16.95396215,NA,1.939170342,7.845303984,16.35158852,NA,NA,0.002048761325903249,2.537886719165888
Scarus dimidiatus,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,3.056698819,7.325452567,25.82940954,NA,2.882831596,6.368568292,26.0376034,NA,NA,0.0024829496958921064,2.5405530342482208
Scarus dubius,NA,Mean of Scarus,2.101009196,6.889156932,20.47067074,70.13137931,1.971768584,6.692464597,20.90251371,68.40293778,133.9037727,1.9944923332149584e-4,3.2963871145137196
Scarus festivus,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,5.174600726,5.511245927,13.67184627,NA,4.889222223,6.550211199,13.67184627,NA,NA,0.19839559169897586,1.1389987477200796
Scarus forsteni,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,1.72134191,8.860901632,16.54966258,NA,1.728718963,8.876952849,16.22074562,NA,NA,9.584964936059921e-4,2.762008255632934
Scarus frenatus,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,1.675301872,5.358569503,9.676136677,22.05467094,1.511543727,4.648475025,10.55545307,22.05467094,31.75798248,0.0022544949201079452,2.382749189944158
Scarus fuscocaudalis,NA,Mean of Scarus,2.101009196,6.889156932,20.47067074,70.13137931,1.971768584,6.692464597,20.90251371,68.40293778,133.9037727,1.9944923332149584e-4,3.2963871145137196
Scarus ghobban,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,1.896994474,9.542385142,35.98126847,89.08722325,1.738234944,9.85982424,39.16648218,90.08634943,199.2860451,7.166067532083105e-5,3.680186840211783
Scarus globiceps,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,5.174600726,5.511245927,13.67184627,NA,4.889222223,6.550211199,13.67184627,NA,NA,0.19839559169897586,1.1389987477200796
Scarus niger,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,2.212158004,8.888252177,16.95396215,NA,1.939170342,7.845303984,16.35158852,NA,NA,0.002048761325903249,2.537886719165888
Scarus oviceps,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,3.056698819,7.325452567,25.82940954,NA,2.882831596,6.368568292,26.0376034,NA,NA,0.0024829496958921064,2.5405530342482208
Scarus psittacus,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,0.16662964,1.35186663,NA,NA,0.154718008,1.288823043,NA,NA,NA,1.474308327983725e-6,4.231642532589373
Scarus rubroviolaceus,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,2.594299442,12.03789348,40.97472477,99.25224374,2.535347175,12.16123401,43.10666076,93.06779297,170.6672906,2.4920287871507067e-4,3.359115212505328
Scarus schlegeli,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,1.264949264,4.622688282,6.207333416,NA,1.172008467,4.467602594,6.207333416,NA,NA,0.005247829947339142,2.0197130149945464
Scarus sp,NA,Mean of Scarus,2.101009196,6.889156932,20.47067074,70.13137931,1.971768584,6.692464597,20.90251371,68.40293778,133.9037727,1.9944923332149584e-4,3.2963871145137196
Scarus spinus,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,1.33047793,3.937167662,NA,NA,1.251121915,4.268342,NA,NA,NA,0.002220896485245303,2.3221471297240677
Scarus tricolor,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,1.72134191,8.860901632,16.54966258,NA,1.728718963,8.876952849,16.22074562,NA,NA,9.584964936059921e-4,2.762008255632934
Scarus xanthopleura,IP Parrotfish erosion rates_database_v1.3.xlsx,NA,1.33047793,3.937167662,NA,NA,1.251121915,4.268342,NA,NA,NA,0.002220896485245303,2.3221471297240677
